Ticker,Sector,Total ESG Risk Score,Volatility of Stock Prices Standard deviation
0001.HK,Industrials,37.18,0.013482213329019352
0002.HK,Utilities,29.22,0.007142805384916913
0003.HK,Utilities,21.88,0.00976042896937159
0004.HK,Real Estate,21.94,0.019423242241610086
0005.HK,Financial Services,23.04,0.014950035482179649
0006.HK,Utilities,36.27,0.008873805260063799
0010.HK,Real Estate,15.41,0.013589559453576842
0011.HK,Financial Services,23.19,0.011168175082292125
0012.HK,Real Estate,22.21,0.015802909385177227
0016.HK,Real Estate,18.06,0.0139897800298162
0017.HK,Real Estate,14.45,0.015110013053723068
0019.HK,Industrials,36.87,0.019630143524949545
0023.HK,Financial Services,24.57,0.016117378736733145
0027.HK,Consumer Cyclical,27.35,0.027719356328372267
0066.HK,Industrials,21.06,0.009576064537291956
0083.HK,Real Estate,14.35,0.016111619914722167
0101.HK,Real Estate,16.61,0.015995630309988188
0135.HK,Energy,30.33,0.022031510201028157
0144.HK,Industrials,17.58,0.021982208562141243
0151.HK,Consumer Defensive,39.71,0.01465124856444738
0168.HK,Consumer Defensive,29.92,0.02514005756799951
0175.HK,Consumer Cyclical,24.03,0.03331278356087981
0177.HK,Industrials,13.0,0.014499586763577887
0257.HK,Industrials,23.25,0.025601794095668207
0267.HK,Industrials,52.21,0.016632089452886606
0270.HK,Utilities,30.85,0.01627176892660002
0288.HK,Consumer Defensive,37.04,0.022346808264289253
0291.HK,Consumer Defensive,29.9,0.023357136527404745
0293.HK,Industrials,38.62,0.018014595827955986
0317.HK,Industrials,38.73,0.030460695750371806
0322.HK,Consumer Defensive,31.01,0.018505802578252392
0338.HK,Energy,29.2,0.022459827873809592
0347.HK,Basic Materials,45.13,0.038276483119574094
0358.HK,Basic Materials,54.48,0.03512848227174116
0371.HK,Utilities,41.25,0.01604227632295981
0384.HK,Utilities,35.04,0.028217367158301938
0386.HK,Energy,52.45,0.019197017049715208
0388.HK,Financial Services,15.11,0.020611532608578828
0390.HK,Industrials,45.71,0.0163715838520139
0392.HK,Industrials,39.59,0.016834493090950906
0489.HK,Consumer Cyclical,21.08,0.02340851027961458
0525.HK,Industrials,30.75,0.016348335160092115
0551.HK,Consumer Cyclical,19.69,0.02248217327156567
0656.HK,Industrials,41.9,0.019838676806222415
0659.HK,Industrials,31.97,0.015293605183150483
0669.HK,Industrials,22.77,0.02555377002630212
0670.HK,Industrials,28.47,0.020217544056384724
0688.HK,Real Estate,16.97,0.020460167752647758
0696.HK,Technology,22.28,0.025196952313960755
0700.HK,Communication Services,22.9,0.026353406584562172
0728.HK,Communication Services,28.57,0.023360631881310573
0753.HK,Industrials,29.85,0.02114820168472292
0762.HK,Communication Services,29.57,0.0167969061959691
0763.HK,Technology,18.57,0.027800463076508245
0836.HK,Utilities,45.84,0.0325512301454777
0857.HK,Energy,53.86,0.022463064502901905
0883.HK,Energy,42.78,0.021117397066263918
0902.HK,Utilities,46.97,0.03237547540224306
0914.HK,Basic Materials,31.89,0.019472734437617958
0916.HK,Utilities,39.27,0.0438918253189537
0939.HK,Financial Services,31.05,0.011869718156750619
0941.HK,Communication Services,22.84,0.015684464161177837
0945.HK,Financial Services,17.92,0.012881906258463648
0960.HK,Real Estate,22.27,0.023921957627575853
0966.HK,Financial Services,28.59,0.021989655673581462
0981.HK,Technology,32.74,0.030733472468344743
0992.HK,Technology,17.58,0.029707260046429762
0998.HK,Financial Services,31.97,0.012778392306901075
1033.HK,Energy,38.14,0.030739397031693445
1038.HK,Utilities,39.02,0.011538404198409848
1044.HK,Consumer Defensive,27.42,0.015009576314993172
1055.HK,Industrials,30.84,0.02454850867683948
1071.HK,Utilities,50.28,0.03098213916964418
1088.HK,Energy,32.55,0.021769211792253104
1093.HK,Healthcare,35.33,0.025282763997025216
1099.HK,Healthcare,16.3,0.022408909843437384
1109.HK,Real Estate,20.27,0.0247824180779127
1113.HK,Real Estate,18.96,0.016094140821258957
1114.HK,Consumer Cyclical,31.43,0.013814914403496924
1128.HK,Consumer Cyclical,21.66,0.031909542018126964
1171.HK,Energy,47.83,0.04213501986858744
1177.HK,Healthcare,39.8,0.02211343622201916
1186.HK,Industrials,47.75,0.0163100682413012
1193.HK,Utilities,33.69,0.020195426493553513
1211.HK,Consumer Cyclical,26.19,0.03620500020010571
1288.HK,Financial Services,32.11,0.012074447367005003
1299.HK,Financial Services,12.9,0.01920343338897359
1336.HK,Financial Services,26.28,0.01678934844395743
1339.HK,Financial Services,32.08,0.011950625943006016
1359.HK,Financial Services,33.25,0.016777227217750625
1398.HK,Financial Services,36.28,0.011563285571922492
1576.HK,Industrials,39.87,0.018546893823977013
1618.HK,Industrials,51.79,0.03878730463367648
1766.HK,Industrials,37.21,0.025623466135149518
1800.HK,Industrials,41.56,0.015914902550582078
1816.HK,Utilities,31.18,0.022140661697209598
1898.HK,Energy,45.91,0.03466267439624127
1919.HK,Industrials,27.91,0.05142960976559125
1928.HK,Consumer Cyclical,19.14,0.032359968078566406
1972.HK,Real Estate,11.26,0.01519677078047084
1988.HK,Financial Services,31.02,0.017940301997517685
2018.HK,Technology,17.45,0.02562643354850736
2020.HK,Consumer Cyclical,18.02,0.029010507084668773
2039.HK,Industrials,51.05,0.027033806001139336
2066.HK,Financial Services,28.99,0.02236932253817331
2196.HK,Healthcare,38.23,0.044757201265498245
2202.HK,Real Estate,19.66,0.025541939529111504
2238.HK,Consumer Cyclical,29.82,0.028872265281037663
2282.HK,Consumer Cyclical,25.14,0.032874384966885696
2313.HK,Consumer Cyclical,17.22,0.024665061319589756
2318.HK,Financial Services,19.41,0.01877260530823034
2319.HK,Consumer Defensive,39.21,0.020173904914845348
2328.HK,Financial Services,28.86,0.017960355317691974
2333.HK,Consumer Cyclical,25.89,0.042918092288450005
2338.HK,Consumer Cyclical,37.66,0.03053590254645491
2378.HK,Financial Services,21.98,0.01791430397967056
2388.HK,Financial Services,23.36,0.011895462865635366
2600.HK,Basic Materials,53.68,0.04403044980744095
2601.HK,Financial Services,27.95,0.025971215740094804
2607.HK,Healthcare,18.63,0.017397568731213866
2628.HK,Financial Services,27.46,0.012600152285881683
2638.HK,Utilities,25.42,0.005010011382853138
2688.HK,Utilities,33.12,0.024207483660976015
2689.HK,Basic Materials,28.15,0.02811165259942989
2727.HK,Industrials,28.54,0.03260117333504759
2799.HK,Financial Services,35.54,0.011873644822538491
2866.HK,Industrials,23.62,0.03571507238822582
2883.HK,Energy,27.35,0.03236371304233779
2888.HK,Financial Services,28.69,0.01696598396283355
2899.HK,Basic Materials,56.01,0.040258252567578263
3311.HK,Industrials,36.54,0.023538564152878822
3328.HK,Financial Services,34.51,0.012075952537809376
3618.HK,Financial Services,25.84,0.013473985739499648
3898.HK,Industrials,30.89,0.040772017856610915
3968.HK,Financial Services,32.44,0.02380623805702992
3988.HK,Financial Services,34.68,0.008724380650668894
6030.HK,Financial Services,31.84,0.019313088888928007
6808.HK,Consumer Cyclical,24.73,0.029573276273256795
6818.HK,Financial Services,32.51,0.014888776815673046
6823.HK,Communication Services,24.59,0.007993879193858668
6837.HK,Financial Services,29.87,0.01406652786922239
6881.HK,Financial Services,30.52,0.01663113980904087
6886.HK,Financial Services,28.29,0.016223649791879534
9618.HK,Consumer Cyclical,28.33,0.030676427977977625
9888.HK,Communication Services,25.46,0.02877944310641258
9901.HK,Consumer Defensive,16.02,0.06182302502060638
9961.HK,Consumer Cyclical,23.49,0.03024725284621161
9988.HK,Consumer Cyclical,28.16,0.028882166486189974
9999.HK,Communication Services,17.98,0.032051282393210236
